Kwdikos proiontos (<kwdikos>-<kwdikos xrwmatos>-<kwdikos megethous>),pricer,discounted_price
58758-015-06,62,37.2
58758-015-05,62,37.2
58758-015-04,62,37.2
58758-015-03,62,37.2
58758-015-02,62,37.2
58759-015-07,66,39.6
58759-015-06,66,39.6
58759-015-05,66,39.6
58759-015-04,66,39.6
58759-015-03,66,39.6
58759-015-02,66,39.6
57385-556-02,233,198.05
57385-556-04,233,198.05
57385-556-03,233,198.05
57110-561-02,54,19
57110-561-01,54,19
56634-007-04,139,118.15
56634-007-03,139,118.15
56634-007-02,139,118.15
59177-013-02,210,178.5
59177-013-03,210,178.5
59177-013-04,210,178.5
59177-013-05,210,178.5
59176-082-02,210,178.5
59176-082-03,210,178.5
59176-082-04,210,178.5
59176-082-05,210,178.5
59167-013-01,289,245.65
59167-013-02,289,245.65
59167-013-03,289,245.65
59170-028-02,186,158
59170-028-03,186,158
59175-556-02,189,160.65
59175-556-03,189,160.65
59175-556-04,189,160.65
59174-096-02,167,141.95
59174-096-03,167,141.95
59174-096-04,167,141.95
59166-028-01,289,
59166-028-02,289,
59166-028-03,289,
59117-012-01,209,177.65
59117-012-02,209,177.65
59117-012-03,209,177.65
59173-027-02,145,123.25
59173-027-03,145,123.25
59173-027-04,145,123.25
59173-027-05,145,123.25
59132-247-01,319,271.15
59132-247-02,319,271.15
59132-247-03,319,271.15
59132-247-04,319,271.15
59171-543-02,249,211.65
59171-543-03,249,211.65
59171-543-04,249,211.65
59172-051-02,233,198.05
59172-051-03,233,198.05
59172-051-04,233,198.05
59116-488-01,289,245.65
59116-488-02,289,245.65
59116-488-03,289,245.65
58520-082-02,342,290.7
58520-082-04,342,290.7
58520-082-03,342,290.7
59070-012-01,175,
59070-012-04,175,
59070-012-03,175,
59070-012-02,175,
59129-082-01,330,280.5
59129-082-04,330,280.5
59129-082-03,330,280.5
59129-082-02,330,280.5
59131-325-03,199,
59131-325-01,199,
59131-325-04,199,
59131-325-02,199,
59071-015-01,204,173.4
59071-015-02,204,173.4
59071-015-03,204,173.4
59115-561-01,235,199.75
59115-561-02,235,199.75
59115-561-03,235,199.75
57386-027-04,189,160.65
57386-027-02,189,160.65
57386-027-03,189,160.65
59130-597-03,189,160.65
59130-597-02,189,160.65
59130-597-01,189,160.65
59130-597-04,189,160.65
59127-597-03,255,216.75
59127-597-02,255,216.75
59127-597-01,255,216.75
59127-597-04,255,216.75
59126-096-01,189,160
59126-096-02,189,160
59126-096-04,189,160
59126-096-03,189,160
59118-293-03,276,234.6
59118-293-01,276,234.6
59118-293-02,276,234.6
59118-293-04,276,234.6
59125-514-03,285,242.25
59125-514-01,285,242.25
59125-514-02,285,242.25
59125-514-04,285,242.25
59050-596-05,151,120.8
59050-596-06,151,120.8
59049-013-05,315,252
59049-013-06,315,252
59049-013-07,315,252
59048-596-04,169,126.75
59048-596-05,169,126.75
59048-596-06,169,126.75
59047-031-04,229,183.2
59047-031-05,229,183.2
59047-031-06,229,183.2
59031-019-03,46,32.2
59031-019-04,46,32.2
58908-501-01,49,34.3
58908-501-02,49,34.3
58999-022-01,35,17.5
59028-004-01,39,27.3
59028-004-02,39,27.3
59007-004-01,25,12.5
58910-501-01,49,34.3
58910-501-02,49,34.3
59012-590-01,29,14.5
59043-051-06,38,19
59043-051-02,38,19
59043-051-03,38,19
59043-051-04,38,19
59043-051-05,38,19
59010-007-01,22,11
58907-013-01,50,35
58907-013-02,50,35
59112-550-06,59,53.1
59112-550-05,59,53.1
59112-550-02,59,53.1
59112-550-03,59,53.1
59112-550-04,59,53.1
58241-014-02,65,58.5
58241-014-03,65,58.5
58241-014-04,65,58.5
58241-014-05,65,58.5
58241-014-06,65,58.5
58241-014-07,65,58.5
58241-514-02,65,58.5
58241-514-03,65,58.5
58241-514-04,65,58.5
58241-514-05,65,58.5
58241-514-06,65,58.5
58241-514-07,65,58.5
59113-550-03,64,57.6
59113-550-04,64,57.6
59113-550-05,64,57.6
59113-550-06,64,57.6
59114-514-06,60,54
59114-514-02,60,54
59114-514-03,60,54
59114-514-04,60,54
59114-514-05,60,54
59114-550-02,60,54
59114-550-03,60,54
59114-550-04,60,54
59114-550-05,60,54
59114-550-07,60,54
59111-550-02,69,55.2
59111-550-03,69,55.2
59111-550-04,69,55.2
59111-550-05,69,55.2
59111-550-06,69,55.2
59111-550-07,69,55.2
59110-514-02,67,53.6
59110-514-03,67,53.6
59110-514-04,67,53.6
59110-514-05,67,53.6
59110-514-06,67,53.6
59110-514-07,67,53.6
59110-550-02,67,53.6
59110-550-03,67,53.6
59110-550-04,67,53.6
59110-550-05,67,53.6
59110-550-06,67,53.6
59110-550-07,67,53.6
59111-514-02,69,55.2
59111-514-03,69,55.2
59111-514-04,69,55.2
59111-514-05,69,55.2
59111-514-06,69,55.2
59111-514-07,69,55.2
58242-015-02,65,
58242-015-03,65,
58242-015-04,65,
58242-015-05,65,
58242-015-06,65,
58242-550-07,65,
59109-514-02,65,58.5
59109-514-07,65,58.5
59109-514-03,65,58.5
59109-514-04,65,58.5
59109-514-05,65,58.5
59109-514-06,65,58.5
59109-550-07,65,58.5
59109-550-03,65,58.5
59109-550-04,65,58.5
59109-550-05,65,58.5
59109-550-06,65,58.5
59038-029-02,47,32.9
59038-029-01,47,32.9
58858-028-05,233,198.05
58858-028-04,233,198.05
58858-028-03,233,198.05
58858-028-02,233,198.05
58877-488-02,240,204
58877-488-03,240,204
58877-488-04,240,204
58515-029-03,294,249.9
58515-029-04,294,249.9
58515-029-02,294,249.9
58513-019-02,239,203.15
58513-019-03,239,203.15
58513-019-04,239,203.15
58513-019-05,239,203.15
56065-547-05,219,186.15
56065-547-04,219,186.15
56065-547-03,219,186.15
56065-547-02,219,186.15
59016-019-03,46,32.2
59016-019-04,46,32.2
59003-004-04,44,22
59035-594-01,44,30.8
59035-594-02,44,30.8
59042-281-02,46,36.8
59042-281-03,46,36.8
59042-281-04,46,36.8
59042-281-05,46,36.8
59042-281-06,46,36.8
58911-501-04,59,41.3
58998-023-03,48,24
59032-281-01,39,19.5
59032-281-02,39,19.5
59032-281-03,39,19.5
59032-281-04,39,19.5
59034-023-01,38,19
59034-022-01,38,19
59034-561-01,38,19
59034-003-01,38,19
59021-011-01,43,30.1
59021-011-02,43,30.1
59027-044-04,52,36.4
59027-044-03,52,36.4
58909-251-01,54,37.8
58909-251-02,54,37.8
58996-005-01,39,19.5
58996-005-03,39,19.5
58996-005-04,39,19.5
59006-004-01,28,14
59030-031-01,44,29
59030-004-01,44,29
59030-003-01,44,29
59030-096-01,44,29
59030-293-01,44,29
58913-013-01,49,34.3
58913-013-02,49,34.3
59039-281-06,43,34.4
59039-281-05,43,34.4
59039-281-04,43,34.4
59039-281-03,43,34.4
59039-281-02,43,34.4
59039-003-06,43,34.4
59039-003-05,43,34.4
59039-003-04,43,34.4
59039-003-03,43,34.4
59039-003-02,43,34.4
59024-436-01,44,30.8
59024-436-02,44,30.8
59015-529-01,33,23.1
59015-529-02,33,23.1
59002-004-01,47,23.5
59019-514-03,54,37.8
59019-514-04,54,37.8
58995-051-01,36,18
59009-506-01,29,14.5
59022-097-01,45,31.5
59022-097-02,45,31.5
59066-019-03,158,126.4
59066-019-04,158,126.4
59066-019-05,158,126.4
59033-013-04,46,32.2
59033-013-03,46,32.2
59068-015-02,148,118.4
59068-015-05,148,118.4
59004-004-01,33,16.5
59005-013-04,45,22.5
59064-281-02,169,135.2
59064-281-03,169,135.2
59064-281-04,169,135.2
59064-281-05,169,135.2
58906-013-01,59,41.3
58906-013-02,59,41.3
59017-004-01,49,35
59017-004-03,49,35
59017-004-05,49,35
59017-281-01,49,35
59017-281-03,49,35
59017-281-05,49,35
59008-006-01,29,14.5
59025-031-04,44,30.8
59025-031-03,44,30.8
59018-013-03,39,27.3
59018-013-04,39,27.3
58301-003-02,85.99,49.9
58301-003-03,85.99,49.9
58301-003-04,85.99,49.9
59040-004-01,40,20
59040-004-02,40,20
59040-004-03,40,20
59040-004-04,40,20
59040-289-01,40,20
59040-289-02,40,20
59040-289-03,40,20
59040-289-04,40,20
59036-351-01,46,32.2
59036-351-02,46,32.2
59023-023-01,44,15.9
59023-013-01,44,15.9
59026-052-01,29,14.5
59023-561-01,44,15.9
59023-019-01,44,15.9
59026-014-01,29,14.5
59037-029-04,52,36.4
59037-029-03,52,36.4
59026-247-01,29,14.5
59026-293-01,29,14.5
59020-013-01,38,15.9
59020-027-01,38,15.9
59020-097-01,38,15.9
59029-293-01,39.9,25
59020-561-01,38,15.9
59029-096-01,39.9,25
59029-003-01,39.9,25
59020-003-01,38,15.9
59020-023-01,38,15.9
59020-029-01,38,15.9
59029-031-01,39.9,25
59000-006-01,35,17.5
59045-396-01,326,277.1
59045-396-02,326,277.1
